Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
118669	bhw	4   	5   5   5   	6   	7   	8   8   	9   	10   	1   	2   2   2   	3   3   
130506	bhw	4   30   	5   5   5   21   	6   6   	7   7   	8   8   31   	9   	23   10   10   	1   	2   	3   3   3   
138384	bhw	4   	5   5   5   	6   6   6   	7   	8   	9   	10   	1   	2   	3   
85359	bhw	4   5   	21   	6   	7   	8   	9   	10   	1   	2   	3   
122454	bhw	4   	5   	6   	7   7   	8   	9   9   	10   	1   1   	2   2   	3   
136357	bhw	4   4   	5   5   5   	6   6   6   	27   7   	8   8   	9   9   	10   6   	1   1   	2   2   	3   3   
124428	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   2   	3   
120540	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
142267	bhw	4   30   4   4   	5   5   5   5   5   5   	6   6   6   	7   	8   8   8   8   8   8   	9   24   9   9   9   	10   	1   1   1   29   	3   2   2   3   2   	3   3   3   3   
138382	bhw	4   4   4   	5   5   	6   	7   7   	8   8   8   	9   9   9   	10   10   	1   1   	3   	3   
142266	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   
142265	bhw	4   	5   21   	6   	7   	31   	9   	10   10   	1   	2   	3   3   
128461	bhw	4   	5   	6   6   	7   	8   	9   9   9   9   	10   	1   	2   7   	3   3   
122452	bhw	4   	5   	6   		8   		10   	1   	2   	2   
122451	bhw	4   	5   5   	6   6   	7   	8   	9   9   9   	10   	1   	2   	3   
124426	bhw	4   	5   5   5   5   	6   	7   7   	8   	9   	10   	1   1   	2   	3   3   25   
118666	bhw	4   	5   5   	6   	7   27   	8   	9   24   9   	10   10   	1   	2   2   26   	3   3   
93121	bhw	4   	5   5   	6   		8   8   	9   	10   	1   1   1   	2   	3   3   
120537	bhw	4   	5   	6   	7   	8   	9   	10   23   23   	1   	2   	3   
78389	bhw	30   		6   	7   	8   	9   	10   	1   	2   	3   3   
142264	bhw	4   4   	5   5   5   	6   	2   	31   8   	9   	10   10   	1   	2   2   2   	3   
100146	bhw	4   	5   5   5   	6   	7   	31   	9   24   	10   10   	1   	2   	3   3   
142263	bhw	30   	22   5   5   	6   6   6   	27   	8   8   	9   9   	23   10   10   10   	1   1   1   	2   2   2   	3   25   3   
142262	swe	30   4   	5   	6   	7   7   	31   31   	3   9   	23   	29   1   1   	26   2   26   	3   
120535	bhw	4   4   	5   5   	6   	7   	8   	9   	10   	1   1   1   	2   2   	3   
126383	swe	30   	22   5   21   5   21   21   	28   	7   	31   31   	24   	23   10   	1   1   	26   	25   3   
142261	bhw	4   	5   	6   	7   	8   		10   	1   	2   2   2   	3   
79725	bhw	4   4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   
83866	bhw	4   	5   	6   6   	7   	8   	9   	10   	1   	2   	3   
98331	swe	4   	5   5   	6   	7   	8   8   	24   	10   	29   	26   	3   3   3   
140426	bhw	4   	5   		7   	8   	9   	10   10   10   	1   	2   	3   
138378	bhw	4   	5   5   5   	6   	7   7   	8   	9   	10   10   	1   	26   	3   
114831	bhw	4   	5   	6   	7   7   7   	8   	9   172255   	10   10   10   	1   1   	2   	3   
83865	bhw	4   	5   	6   6   	7   	8   	9   	10   10   	1   	2   	3   
142260	bhw	4   	5   	6   6   6   	7   	8   8   	9   	10   10   10   	1   1   	2   	3   
83864	bhw	4   4   	5   5   	6   	7   3   	8   	9   	10   10   23   	1   	3   2   2   	3   
140424	bhw	4   		6   	7   	8   	9   	10   	1   	2   	3   
72864	bhw	4   	5   5   	6   	7   7   7   	8   	9   9   9   9   9   	10   10   10   10   	1   29   	9   26   2   2   	3   3   3   25   3   
128458	bhw	4   	5   5   5   5   	6   	7   7   	8   	9   	10   10   	1   	2   	3   3   3   
109265	bhw	4   4   4   30   4   	22   5   21   21   22   	6   6   	7   7   7   	8   8   8   	9   24   9   	10   	1   1   1   	2   2   26   2   7   2   	3   
138377	bhw	4   	5   5   5   	6   6   	7   	8   8   	9   	10   10   10   	1   	3   2   	3   
122447	bhw	4   30   	5   5   21   	6   	7   	8   	9   9   	10   10   	1   	2   	3   3   
134400	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
140422	bhw	4   4   	5   	6   6   6   	7   7   	8   	9   	10   	1   	2   	3   
94902	bhw	4   	5   	6   6   6   6   	7   7   	8   	9   9   9   	10   	1   	2   26   	3   3   25   3   
109263	bhw	30   	5   	6   	7   	31   	24   	10   	1   	2   	3   25   25   
3566	bhw	4   	5   5   5   	6   6   	7   	8   	9   	10   	1   	2   26   	25   3   
140421	bhw	4   4   	5   22   	6   6   	7   	8   8   	9   9   	10   10   	1   1   	2   2   2   	3   
3565	bhw	4   4   4   	5   5   5   5   21   5   5   	6   6   	7   7   7   	8   8   8   	9   9   9   	10   10   10   10   10   10   	1   1   1   	2   2   2   7   2   	3   3   3   25   3   
86885	bhw	4   4   4   30   	5   22   22   	6   	7   	8   8   8   	9   9   24   9   	10   10   10   	1   1   	2   2   2   	3   3   25   3   
140419	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
126379	swe	30   	22   	28   	27   	31   	24   	23   10   10   	29   1   	2   	25   
142259	bhw	4   	5   	6   6   	7   	8   	9   9   	10   	1   	2   2   	3   3   3   
142258	bhw	4   	21   5   5   5   21   	6   6   6   6   	7   	8   8   8   8   8   	9   9   24   	10   10   	1   1   1   	2   	3   3   
120529	bhw	4   4   	5   5   5   22   	6   	7   7   	8   	9   9   	10   10   	1   	2   26   2   2   	3   2   3   
140418	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
118662	bhw	4   	5   22   5   	6   	7   	8   	9   	10   	1   		3   
142257	bhw	4   4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   2   	3   3   
140416	bhw	4   4   	5   5   5   	6   6   	7   7   	8   8   	9   	10   10   10   10   	1   	2   	3   
100141	bhw	4   4   	5   5   	6   	7   7   	8   8   	9   9   	10   	1   1   1   1   1   	2   	3   
142256	bhw	4   30   4   4   4   	5   5   	6   28   	7   	8   8   8   	9   	10   10   10   10   	1   1   	2   	3   
75645	bhw	4   4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
94899	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   
140415	bhw	4   	5   5   5   	6   	7   	8   8   	9   9   9   	10   	1   	2   2   2   2   3   	3   3   3   
96624	swe	4   	22   	28   	7   	31   	9   	23   23   10   	29   	26   2   26   	3   
138374	bhw	30   	5   	6   	7   	31   	9   	10   	1   29   	2   	3   
142255	bhw	4   	5   	6   	3   7   	8   8   	9   9   9   	10   10   	1   	2   	3   3   
10597	bhw	4   4   4   	5   5   	6   	7   	8   8   8   	9   9   	10   	1   	2   2   	3   3   
120527	bhw	4   30   	5   5   22   	6   	27   	8   31   	9   9   	8   	1   	2   2   2   	3   
142254	bhw	4   	5   5   	28   6   	7   	8   31   8   		10   10   10   10   10   	1   	2   	3   3   3   3   
142253	bhw	4   	5   5   	6   	7   7   	8   31   	9   	10   	1   	2   2   2   	3   3   
140412	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   
136346	bhw	30   	5   	6   28   	7   	8   	9   9   9   	10   10   	1   1   	2   	3   
57696	bhw	4   	5   5   	6   	7   7   	8   	9   	10   	1   	2   	3   
132408	swe	30   	21   5   5   	28   6   	7   	31   	9   9   	23   		26   2   	3   
140411	bhw	4   	5   5   	6   	7   	8   	9   9   	10   	1   	2   2   	3   3   3   3   
83860	bhw	4   	5   	6   	7   	8   	9   	10   6   	1   	3   	3   
142252	swe			28   	27   	31   	24   	23   	29   	26   	25   
134393	bhw	4   	5   5   5   	6   6   6   	7   27   	8   8   	9   9   	10   23   	1   1   1   	2   2   2   2   	3   
128450	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   
130493	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   3   
140410	bhw	4   	5   5   	6   	7   	8   	9   9   	10   	1   	2   2   2   	3   
128448	bhw	4   4   	5   5   	6   	7   2   	8   8   	9   	10   10   9   	1   	2   	3   3   
138372	swe	4   30   4   30   	22   5   5   	28   6   	27   7   7   7   	31   8   	24   9   	23   10   	1   	26   	25   3   3   3   25   
118653	swe	4   	5   	28   	7   	31   	9   24   9   24   24   9   3   	23   23   10   10   	29   1   29   	26   2   2   3   2   	25   25   3   
89952	bhw	4   4   4   	5   5   	6   	7   7   	8   31   	9   	10   	1   1   	2   2   	3   3   3   
140408	bhw	4   4   	5   	6   6   6   6   6   	7   	8   	9   	10   10   10   	1   	2   2   2   2   2   2   2   	3   
82470	bhw	4   4   	5   5   5   	6   	7   	8   8   8   	9   24   9   	10   	1   1   	2   2   	3   3   
86879	bhw	4   	5   	6   	7   7   7   	8   	9   	10   	1   	2   2   	
140407	bhw	4   	5   	6   6   	7   	8   	9   9   9   9   	10   	1   	2   7   	3   3   
142251	bhw	4   4   4   4   	5   	6   	7   	8   8   	9   	10   10   	1   	2   	3   
142250	bhw	4   	5   5   	6   	7   	8   8   	9   24   	10   10   10   	1   1   	2   26   	3   25   3   
142249	bhw	4   	5   5   5   	6   	7   7   	8   8   8   	9   	10   10   	1   1   1   	2   2   	3   
138370	bhw	4   	5   5   5   		7   7   	8   8   	9   	10   10   10   23   	1   1   	2   	3   3   3   
138368	bhw	30   	21   5   	6   	7   	8   	9   	10   	1   	2   	3   25   3   
88391	bhw	4   30   	5   22   	6   	7   	8   	9   24   9   9   	10   23   	1   1   1   	2   	3   
94893	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   	3   
140406	bhw	4   	5   5   5   22   	6   6   	7   	8   	9   9   9   9   	10   10   10   10   10   	1   	2   	3   3   25   
142248	bhw	30   	5   	6   	27   7   7   	31   	9   	10   	1   	26   	3   3   
114815	bhw	4   	5   5   	6   	7   	8   	9   9   	10   10   10   10   	1   	2   2   	3   
142247	bhw	4   	5   5   	6   	7   7   	8   8   8   8   8   	9   	10   10   10   10   10   10   	1   	2   	3   3   
132403	bhw	30   	5   5   5   	6   	7   	8   	9   9   	10   	29   	2   2   	3   
13092	bhw	4   	5   5   5   5   5   5   	6   	7   	8   8   	9   9   9   	10   	1   	2   	3   
101936	bhw	4   	5   	6   	7   	31   	9   	10   	1   	2   	3   
142246	bhw	4   	21   5   5   5   	6   6   6   	7   7   7   	8   8   8   8   8   	9   24   	10   10   	1   1   1   	2   	3   3   3   
86874	bhw	4   	5   5   	6   	7   	8   	9   9   9   9   	10   10   	1   1   	2   2   	3   
140405	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
140404	swe	30   4   	21   	28   6   	27   	31   8   	24   	23   23   10   10   	29   	26   	25   
128443	bhw	4   	5   5   5   5   5   	6   	7   7   	8   	9   	10   10   	1   	2   	
142245	swe	30   	21   22   	28   	27   	31   	24   	23   10   	29   1   1   	26   2   2   26   	3   3   
142244	bhw	4   4   	5   	6   6   6   	7   7   7   	8   8   8   	9   9   9   	10   10   10   	1   1   1   	3   2   	3   3   
77052	bhw	4   	5   5   5   	6   6   	7   	8   	9   	10   	1   	2   2   	3   3   
126363	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   3   
142243	bhw	4   	5   5   	6   	7   	8   8   	9   	10   	1   1   	2   	3   
140402	bhw	4   	5   5   	6   	7   	8   	9   	10   10   	1   	3   	3   
128440	bhw	4   	5   	6   	7   	8   	9   9   	10   10   10   	1   1   	2   2   2   	3   3   25   25   25   25   
71369	bhw	4   4   4   4   4   	5   5   5   	6   6   	7   7   7   7   	8   8   8   8   	9   9   9   9   	10   10   10   10   10   	1   1   	2   2   	3   3   3   3   3   
142242	bhw	4   	5   5   5   5   	6   	7   	8   8   8   	9   	10   10   23   	1   	2   	3   
142241	bhw	4   	5   	6   6   	7   	8   	9   10   	10   10   10   10   	1   	2   	3   
114814	bhw	4   	5   	6   	7   	8   	9   		1   	3   2   	25   
142240	bhw	4   	21   22   5   5   21   5   	6   28   	7   	8   31   	9   9   	10   10   	1   	2   26   	3   3   25   
3261	bhw	4   30   30   4   4   	5   5   22   5   22   	6   6   6   	7   27   	8   31   31   8   8   	9   	10   10   	1   1   1   	26   2   	3   3   3   3   3   
98315	bhw	4   	5   5   5   5   5   	6   6   6   	7   	8   	9   9   	10   10   	1   	2   	3   3   3   
86869	bhw	4   4   	5   	6   6   	7   7   	8   8   	9   9   	10   	1   	2   	3   
134379	swe	30   	21   22   	6   	27   	31   8   8   	24   	23   	29   	3   	3   
134378	bhw	30   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   
142239	bhw	4   4   	5   5   5   	6   	7   	8   8   	9   	10   	1   	7   	3   3   
138358	bhw	30   	5   	6   28   	27   3   	8   	9   	10   	1   1   1   	2   2   	25   
138357	bhw	4   	5   5   5   5   5   5   	6   	7   7   7   7   27   7   7   	8   	9   9   	10   10   10   	1   1   	2   2   2   2   26   2   26   	25   25   3   3   
82465	bhw	4   	5   5   	6   6   	7   7   	8   8   	9   	10   10   10   	1   1   	2   	3   3   
140399	bhw	4   	5   	6   	7   	8   8   	9   9   	10   	1   	2   	3   
120514	bhw		5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   3   
114813	bhw	4   	22   	6   	7   	8   	9   	10   	1   	2   	3   
142238	bhw	4   	5   5   5   	6   	7   7   	8   	9   	10   10   	1   	2   2   3   	3   3   
142237	bhw	4   	5   5   5   	6   	7   7   	8   	9   	10   10   	1   	26   	3   
132395	swe	30   	21   21   	28   	27   	31   	24   	23   	29   	26   	
138356	swe	30   	22   5   	28   	27   	31   31   	24   9   	23   10   	29   	2   	25   
66937	bhw	4   4   	5   	6   28   	7   7   	8   8   8   	9   	10   23   	1   	2   	3   3   3   3   
88386	bhw	30   	5   22   	6   	27   	31   31   8   	9   	10   	1   	2   	3   
89938	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	3   	3   
132394	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   
107348	bhw	4   	5   5   	6   	7   7   	8   	9   9   	10   10   10   	1   	2   3   	3   3   
140397	swe	4   	5   5   5   5   	28   	7   27   	8   8   	9   	23   10   	1   	2   	25   3   
120511	bhw	4   	5   5   	6   6   	7   	8   8   	9   9   	10   	1   1   	2   	3   3   
138354	swe	4   	5   5   22   	28   6   	27   	31   8   8   8   	24   9   	10   	29   1   	2   	3   3   
142236	bhw	4   	5   	6   	7   	8   8   	9   	10   10   	1   1   	2   3   	3   
128435	swe	30   30   	21   5   5   5   5   	6   6   	7   7   	8   31   31   	24   24   9   9   	23   10   10   10   10   	1   	2   	25   3   
136334	bhw	4   4   	5   5   5   	6   	2   	31   8   	9   	10   10   	1   	2   2   	3   
103724	bhw	4   	5   5   5   	6   	7   	8   8   8   	9   	10   	1   	2   	3   
140396	bhw	4   	5   	6   	2   7   7   7   	8   8   31   8   	9   9   	10   10   10   	1   1   	2   2   	2   
136332	bhw	4   4   	5   	6   6   	7   7   7   	8   	9   9   9   	10   	1   	2   2   2   	3   3   3   25   
75624	bhw	4   		6   		8   	9   	10   	1   	2   	3   
142235	bhw	4   4   	5   5   5   5   5   5   5   5   	28   6   	7   27   7   7   7   	8   	9   9   	10   10   	1   	2   2   2   2   2   2   	3   3   25   3   3   3   3   
85322	bhw	4   	5   5   5   5   	6   	7   7   	8   8   	9   	10   	1   	2   26   2   2   2   	3   3   3   
69886	bhw	4   	5   	6   	7   7   	8   	9   	10   10   	1   	2   	3   
136331	bhw	4   4   	5   5   	6   	7   7   	8   	9   	10   	1   1   1   1   	2   	3   3   3   3   
82460	bhw	4   4   	5   5   5   5   5   5   5   5   	28   6   	7   27   7   7   7   	8   	9   9   	10   10   	1   	2   2   2   2   2   2   	3   3   25   3   3   3   3   
3301	bhw	4   	5   	6   	7   	8   	9   172255   9   		1   	2   	3   
101921	bhw	4   4   	5   	6   	7   7   7   	8   8   	9   	10   10   	1   1   	2   3   	3   
82459	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   	3   
142234	bhw	4   4   4   4   4   	5   5   5   21   21   5   	6   6   6   6   	7   7   7   	8   8   8   	9   24   	10   	1   	2   	25   3   3   3   
136329	bhw	4   30   4   4   4   	5   5   	6   28   	7   	8   8   8   	9   	10   10   10   10   	1   1   	2   	3   
138352	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
88383	bhw	4   4   4   	5   	6   	7   7   	8   8   8   	9   9   9   9   	10   10   10   10   10   	1   1   	2   2   2   	3   2   
138350	swe	4   	5   21   	28   	27   	31   	24   	23   	29   	26   	25   
142233	bhw	30   	5   	6   6   6   	7   7   7   7   	8   	9   9   	10   	1   1   	2   	3   
88380	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
98307	bhw	4   	5   	6   	7   3   	8   8   	9   9   9   	10   	1   	2   	3   3   
122414	bhw	4   4   4   	5   	6   	7   	8   	9   9   	10   	1   1   1   	2   2   2   2   	3   
78363	bhw	4   	5   9   5   	6   	7   	8   8   8   	9   24   	10   10   10   23   	1   	3   2   26   	3   25   3   
111028	bhw	4   	5   	6   6   	7   	8   	9   9   	10   10   	1   	2   	3   
78362	bhw	4   	5   5   5   21   5   5   	6   6   	7   7   7   	8   8   31   	9   9   	10   10   10   10   	1   	2   	3   3   3   3   
82453	bhw	4   	5   	6   	7   7   7   7   	8   8   	9   	10   10   10   	1   	2   	3   25   
124401	bhw	30   30   	22   5   	6   	27   7   7   7   7   	8   8   	24   9   	23   10   10   	1   1   1   1   1   	2   2   2   	3   3   3   
142232	bhw	4   7   	5   5   		7   	8   8   	9   	10   	1   	2   	3   3   
140392	bhw	4   30   	5   5   	6   	2   7   7   	8   8   8   	9   	10   	1   1   	2   2   	3   
140391	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
142231	swe	30   	5   22   	28   	27   27   7   	31   	24   25   	23   	29   	2   2   	3   
132386	bhw	4   	5   	6   6   	7   	8   8   8   	9   9   	10   10   10   10   	1   1   	2   26   	3   3   
140390	bhw	4   	5   5   5   	6   	7   	8   	9   24   	10   	1   1   	2   	3   
54581	bhw	4   4   4   	5   	6   	7   	8   8   8   	9   	10   10   10   	1   1   1   	3   2   2   	3   
142230	swe	4   30   4   30   	22   5   5   	28   6   	27   7   7   7   	31   8   	24   9   	23   10   	1   	26   2   	25   3   3   3   25   
138346	bhw	4   	5   5   5   	6   	7   7   	8   	9   	10   	1   1   	2   	3   
138345	bhw	4   	5   5   	6   6   28   	7   	8   8   	9   9   9   9   	10   	1   1   1   1   1   	2   26   2   	3   25   
138344	bhw	4   	22   	6   6   	27   27   	8   8   8   	9   9   9   	10   10   10   	1   	2   	3   
140389	bhw	4   	5   5   5   	6   	7   	8   		10   	1   	2   	3   3   
140388	bhw	4   	5   5   	6   	7   7   	8   	9   	10   10   	1   1   	2   2   2   	3   3   
142229	bhw	4   	5   	6   	7   7   	8   8   	9   	10   	1   	2   2   	3   
142228	bhw	4   	5   5   21   	6   	7   	8   	9   9   	10   	1   	2   	3   3   
82448	bhw	4   	5   	6   	7   	8   	24   		1   	2   	25   
105351	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   3   3   
118636	bhw	30   	5   	6   	27   3   	8   	9   	10   	1   1   1   	2   2   	25   
140387	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   		3   3   2   
128426	bhw	4   	5   5   	6   	7   	8   8   	9   	10   	1   1   	2   2   	3   3   3   3   
142227	bhw		5   	6   	7   	8   8   8   		10   	1   	2   	3   
140386	swe	30   	5   	28   	7   7   	8   	24   	23   	29   	26   26   	25   
142226	swe	4   4   	5   5   21   5   	6   	7   	8   8   	9   9   	10   	29   	26   	3   3   3   3   25   3   
91525	bhw	4   	5   	6   	7   7   7   	8   8   	9   	10   10   10   	1   1   1   1   	2   2   2   	3   
132382	bhw	4   	5   5   	6   6   	7   7   2   	8   8   	9   9   	10   10   	1   	2   	3   3   
88372	bhw	4   4   4   	5   5   5   	6   28   	7   7   7   7   	8   	9   	10   	1   	2   2   	3   3   
132381	swe	30   30   30   4   	5   5   5   5   	28   28   6   	27   7   7   7   7   7   	8   8   	24   9   9   	23   10   10   	29   1   	26   26   26   2   	3   3   3   3   25   
91524	bhw	4   	5   5   	6   	7   7   7   	8   8   	9   9   	10   10   10   	1   1   	26   	3   3   3   
142225	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   1   	2   	3   
88370	bhw	4   4   	5   5   5   	6   6   6   	7   7   	8   8   	9   9   	10   10   	1   	2   	3   3   
142224	bhw	4   	5   	6   	7   	8   8   	9   9   9   	10   10   10   10   10   	1   	2   3   	3   
74308	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   2   	3   
81122	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   		3   
138338	bhw	4   4   	5   5   	6   6   	7   7   	8   	9   	10   	1   29   	2   	3   
132379	bhw	4   	22   5   5   	6   	7   	8   8   8   	24   9   	10   10   23   10   	1   1   	2   26   	7   
112913	bhw	4   4   1   	5   5   5   	6   	7   7   	8   	9   24   9   	10   10   	1   1   1   29   	2   	3   
111018	bhw	4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
86852	bhw	4   4   4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   3   
140385	bhw	4   	22   5   5   5   5   5   	6   28   6   6   6   6   	7   7   7   27   27   7   	8   31   8   	9   24   9   	23   	1   1   1   	2   2   2   2   	3   3   3   3   25   
138337	bhw	4   	5   5   5   5   	6   6   6   	7   7   7   	8   	9   9   	10   10   10   10   	1   1   	2   2   	3   3   
88369	bhw	4   	5   	6   	7   	8   	9   3   	10   10   10   10   	1   	2   	3   
85313	bhw	4   	5   	6   	7   	8   31   	9   	10   	1   1   29   1   	2   	25   
136320	bhw	4   	21   22   5   5   21   5   	6   28   	7   	8   31   	9   9   	10   10   	1   	2   26   	3   3   25   
142223	swe	30   	5   5   	28   6   	7   	31   	9   	23   	29   		3   
132377	swe	4   	21   5   5   	28   	27   7   	8   8   	9   	10   	29   	2   2   2   	25   3   3   
142222	swe	30   	21   5   5   	28   	7   	31   	24   9   	23   10   	29   1   	26   	3   
89919	bhw	4   	5   5   	6   	7   7   7   	8   8   	9   9   	10   10   10   	1   1   1   	2   2   3   	3   
140384	bhw	4   	5   	6   	7   	8   	9   	10   	1   		3   
107340	bhw	4   	5   5   	6   	7   	8   8   5   	9   9   	10   	1   1   	2   	2   3   
138334	bhw	4   	5   5   	6   	7   7   7   	8   8   8   8   	9   	10   10   	1   1   	2   	3   
132375	swe	30   30   	21   5   5   5   5   	6   6   	7   7   	8   31   31   	24   24   9   9   9   	23   10   10   10   10   10   	1   	2   3   	25   3   
114794	swe	30   4   	5   	28   6   	7   	8   	24   9   9   	23   	29   	26   	3   
98298	bhw	4   	5   	6   6   	7   7   	8   	9   	10   10   	1   1   	3   	3   
93081	bhw	4   	5   	6   6   	7   7   7   	8   	9   9   9   	10   10   10   	1   	2   2   7   	3   3   
112910	bhw	4   	5   	6   	7   	8   31   	9   	10   10   	1   	2   	3   3   
138333	bhw	4   	5   5   22   	6   6   	7   	8   	9   	10   10   	1   1   29   	2   2   2   2   	3   3   3   25   
85310	bhw	4   4   4   	5   5   5   	6   6   	7   7   7   	8   	9   9   9   	10   	1   	2   2   	3   
130460	bhw	4   	5   21   	6   	7   	31   	9   	10   10   	1   	2   	3   3   
116655	bhw	4   	5   22   	6   6   	7   7   7   	8   	9   9   9   	10   10   	1   	2   2   2   	3   3   3   3   
77030	bhw	30   4   	5   22   	6   	7   27   27   	31   	9   	10   10   23   	1   	2   2   2   	3   
82437	bhw	4   4   	5   5   5   5   	6   	7   7   	8   	9   	10   10   	1   	3   7   	3   3   3   
85309	bhw	4   4   	5   5   	6   6   	7   7   	8   	9   9   	10   10   10   	1   1   	2   2   2   2   	3   
138332	bhw	4   	5   5   	6   	7   	8   8   	9   	10   	1   	2   	3   
142221	bhw	4   	5   5   	6   6   	7   7   2   	8   8   	9   9   	10   10   	1   	2   	3   3   
120493	bhw	4   	5   5   	6   	7   7   	8   	9   	10   	1   	2   	3   
126336	bhw	4   30   	21   5   	6   	7   27   	8   8   	9   24   9   	10   10   	1   	2   	3   3   
138331	bhw	30   	5   	6   	7   		9   		1   	2   	3   
132374	bhw	4   4   	5   5   	6   6   	7   7   	8   8   	9   	10   	1   1   1   	2   2   	3   
142220	bhw	4   4   4   4   4   	5   5   5   5   22   	6   6   	7   7   7   7   7   7   27   	8   8   31   	9   	10   	1   	2   2   2   3   2   26   	3   3   3   3   
140381	swe	4   	5   9   5   	28   6   	7   7   	31   8   2   8   	24   	23   10   23   23   10   	29   	26   26   	25   3   
93078	bhw	4   4   		6   	7   7   7   	8   8   	9   9   	10   	1   	2   2   	
100109	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	3   	3   3   
142219	bhw	4   	5   		7   	8   	9   	10   	1   		3   
75608	bhw	30   	5   5   5   	6   	7   7   	8   8   	9   	10   	1   1   	2   2   	3   3   3   25   
81114	bhw	4   	5   	6   	7   7   3   	8   8   	9   	10   	1   	3   2   	3   3   
138329	bhw	4   4   	5   5   5   5   5   22   	6   6   6   6   6   	7   	8   8   8   8   	9   9   	10   10   10   	1   1   	2   2   7   2   	3   3   
100108	bhw	4   	5   	6   	7   7   7   	8   	9   	10   	1   	2   	3   2   
74291	bhw	4   	5   5   5   	6   	7   	8   	9   9   	10   	29   	26   	2   
142218	bhw	4   	21   	6   	7   	8   	9   9   	10   	1   	3   	3   
142217	bhw	30   	5   5   5   	6   	7   	8   	9   9   	10   	1   29   	2   2   	3   
140377	swe	4   	21   	6   6   6   	27   	8   	24   9   	23   	29   	2   	25   3   
72820	bhw	4   	5   21   21   21   5   22   5   	28   	7   7   	8   	9   	23   10   10   	1   1   29   	2   	3   25   
138326	bhw	4   	5   	6   	7   7   7   	8   	9   9   	10   	1   	2   3   	3   
140376	bhw	4   	5   5   5   5   	6   6   	7   7   7   	8   	9   9   	10   10   	1   1   	2   2   2   2   	3   3   
132369	swe	30   	5   22   	6   6   	27   	31   	24   	23   10   	29   29   	2   2   	25   26   3   3   25   25   2   9   3   
82433	swe	4   	22   5   22   5   5   	6   	27   	31   	24   25   	10   10   	29   29   1   	26   	3   
81113	bhw	4   	5   5   5   5   5   5   	6   6   	7   7   	8   	9   	10   	1   1   	2   3   	3   3   
142216	bhw	4   4   	5   5   5   5   5   	6   28   	7   7   7   7   27   7   7   	8   	9   9   	10   10   10   	1   1   1   	2   2   2   2   26   2   2   26   	25   25   25   3   3   
128414	bhw	4   	5   5   	6   	7   7   	8   31   	9   	10   	1   	2   2   2   	3   3   
128413	swe			28   	27   	31   	24   	23   	29   	26   	25   
130452	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   3   	3   3   3   
138324	bhw	4   	5   5   5   	6   	7   	8   	9   9   9   	10   10   	1   1   	2   	26   
136313	swe	4   30   4   30   	22   5   5   	28   6   	27   7   7   7   	31   8   	24   9   	23   10   	1   	26   	25   3   3   3   25   
142215	swe	30   4   	5   	28   6   	7   	8   	24   9   9   	23   	29   	26   	3   
140375	bhw	4   	5   5   5   5   5   22   	6   	7   7   	8   	9   9   9   9   9   	10   	1   1   1   	2   2   	3   3   3   3   
78347	bhw		5   	6   6   	7   	8   	9   	10   	1   	2   	3   
142214	bhw	4   	22   5   	6   6   6   	27   27   	8   8   8   	9   9   24   9   9   	23   10   	29   	2   	3   
142213	swe	4   	5   5   22   	28   6   	27   	31   8   8   8   	24   9   	10   	29   1   	2   	3   3   3   
140374	bhw	4   	5   21   	6   	7   	8   8   	9   		1   1   	2   2   	3   
