Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
138810	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
138773	bhw	4   4   	5   	6   	7   	8   	9   9   	10   	1   	3   	3   
132818	swe	30   	21   5   	28   	27   	31   	24   	23   10   	29   	2   2   26   2   	25   25   3   
91912	bhw	4   	5   5   5   	6   	7   	8   	9   	10   10   	1   1   1   	2   	3   
104105	bhw	4   	5   	6   	7   	8   	9   	10   	1   		3   
122809	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   3   	3   3   
102318	bhw	4   4   	5   21   	6   6   6   	7   7   	8   	9   9   9   	10   10   10   	1   1   	2   	3   3   
80227	swe	30   4   	21   5   5   5   	6   6   	27   7   	8   8   	9   9   9   	23   10   	29   1   	26   3   2   	3   3   25   3   
82922	bhw	4   4   	5   22   	6   	27   	8   8   	9   24   	10   10   10   	1   	2   	3   3   
80226	swe	30   4   	21   5   5   	28   	27   7   	31   	24   	23   	29   1   	26   2   	3   3   3   25   
138771	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
91909	swe	30   	5   	28   	7   7   	31   8   31   	9   	23   10   	29   	2   2   2   	3   
122806	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   1   		3   
113323	swe	30   	21   22   22   5   5   	28   	27   7   7   	31   	24   	23   10   	29   	2   2   2   	3   3   
136730	bhw	4   	5   5   	6   	7   7   	8   	9   9   9   9   	10   10   10   	1   1   	7   	3   3   
122805	bhw	4   4   4   4   4   	5   	28   	7   7   	8   	9   	10   	1   	2   3   	3   3   3   
41207	bhw	30   	5   5   22   5   	6   28   	7   7   27   27   7   	8   8   	9   24   24   24   	23   10   23   23   	1   1   1   	2   26   	3   25   25   
132809	swe	4   	22   5   	28   	27   	31   	24   	23   	29   1   	2   	25   25   
136727	swe	30   	5   		7   	31   8   8   8   	24   9   	23   	29   	2   	3   25   
120907	bhw	4   4   	5   5   	6   6   	7   7   	8   8   8   8   8   	9   9   9   	10   	1   1   	3   2   	25   3   3   3   
117037	swe	30   	5   5   	28   	7   	31   8   	24   9   23   	23   23   	29   	2   	25   
138805	swe	30   4   	21   5   5   22   5   5   	28   	27   7   	31   	9   9   	23   10   	29   1   	2   	25   3   
102312	bhw	4   	5   5   5   	6   6   6   	7   	8   8   	9   	10   10   10   10   	1   	2   	3   3   3   
71850	swe	30   30   30   	21   5   21   5   5   5   	28   28   6   	27   	8   8   8   8   	24   24   9   24   	23   	29   	26   26   26   2   	25   25   
138804	bhw	4   	5   	6   	7   	8   8   8   	9   9   	10   	1   	3   	3   
82982	bhw	4   	5   21   	6   6   	7   	8   8   	9   9   	10   	1   	2   2   	3   3   3   3   
117034	bhw	4   	5   	6   	2   	8   	9   	10   	1   	2   	3   
136723	bhw		5   5   	6   	7   7   	8   	9   9   	10   	1   	2   2   	3   
119052	bhw	4   	5   5   	6   6   	7   7   	8   	9   	10   	1   	7   	3   
82975	bhw	4   4   	5   5   5   5   	6   	7   	8   8   8   	9   	10   10   10   	1   	26   	3   
90344	swe		21   5   	28   28   		8   8   8   	24   	23   23   	1   	26   2   	25   
85757	bhw	4   4   	5   5   5   	6   	7   	8   	9   9   	10   	1   	2   2   26   2   	25   3   
132803	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
88786	bhw	4   	5   	28   	7   	8   	9   	10   23   	1   	2   2   	3   
104096	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	2   	3   
119051	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
111390	bhw	4   4   	21   	6   	7   7   	8   8   	9   9   	10   10   	1   	3   	3   
138800	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
138799	swe		21   5   5   	28   28   	7   	31   8   8   8   	24   	23   	1   	26   26   2   	25   
85753	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   3   
85752	swe	30   	22   5   	28   6   	7   	31   	24   	23   10   	29   1   1   	2   2   	25   3   
134776	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
100473	swe	30   	5   	6   	7   	8   	24   	23   	29   1   	26   26   	2   
65879	bhw	4   	5   5   	6   	7   	8   8   	9   	10   	1   	3   	3   
80211	swe	30   	5   	28   	7   	8   	24   	23   	29   	26   	25   3   3   2   
3157	bhw	4   	5   5   5   5   21   	6   	7   27   	8   8   8   8   	9   9   	10   10   10   23   	1   	2   	3   3   3   3   3   
2615	bhw	4   	5   5   	6   	7   	8   	2   9   	10   10   	1   	2   	3   
113309	bhw	4   4   	5   5   5   	6   	7   	8   	9   9   	10   10   10   	1   1   	2   2   26   3   	25   3   3   3   
81590	bhw	4   	5   	6   	7   7   	8   	9   9   	10   	1   1   	9   2   2   	3   
98684	bhw	4   	21   5   5   5   5   	6   6   6   	7   	8   8   8   8   	9   9   	10   10   10   10   	29   1   1   	2   3   	3   3   
120900	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   1   	2   	3   
85747	bhw	4   30   	5   5   5   5   5   	28   	7   	8   	9   9   9   9   	10   	1   1   29   1   4   1   	2   2   2   	3   
87224	bhw	4   4   	5   	6   	7   	8   	9   	10   10   10   	1   	2   3   	3   3   3   
87223	bhw	4   4   	5   5   5   	6   	7   	8   8   	9   9   	10   10   	1   1   	3   	3   
138794	bhw	4   	5   		7   	8   	9   	10   	1   		3   
85746	bhw	4   	5   5   22   	6   	7   	31   	9   	10   10   	1   1   	2   2   	9   
98681	bhw	4   30   	5   	6   28   	7   7   	8   	9   9   	10   	1   1   	2   2   	3   3   3   
93455	swe	4   	22   5   5   5   	28   	27   	31   	24   24   	23   	29   1   29   	2   26   	25   25   25   25   
104091	bhw	4   4   	5   5   5   5   5   5   5   5   	6   	7   	8   8   8   8   	9   9   9   9   9   	10   10   10   10   10   10   	1   	2   2   2   	2   3   3   25   
105690	bhw	4   4   	5   5   	6   		8   8   	9   9   9   	10   	1   	2   2   	3   3   
122789	bhw	4   	5   	6   	7   	8   	9   9   	10   	1   	3   	3   
102299	bhw	4   	5   5   5   22   5   	6   	7   	8   8   8   	9   	10   	1   	26   2   	25   
138763	bhw	4   	5   5   	6   	7   	8   	9   	10   23   	1   	2   2   	3   3   25   
113304	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
138790	bhw	4   	5   5   	6   6   6   	7   7   	8   8   8   	9   9   9   9   9   	10   	1   1   29   1   1   	2   2   26   2   2   	3   3   3   3   3   3   
128834	bhw	4   	5   5   	6   	7   	8   8   8   	9   9   	10   	1   1   	2   	25   25   3   
84239	bhw	4   	5   5   5   5   5   	6   	7   	8   	9   24   	10   	1   	2   2   2   2   26   26   	3   3   10   9   3   
136716	bhw	4   4   	5   5   	6   	7   	8   8   	9   	10   	1   	2   3   	3   3   3   
104086	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
119038	bhw	4   4   4   	5   5   	6   6   	7   27   	8   	9   	10   	1   	2   	3   
90334	bhw	4   	5   5   5   5   5   	6   	7   7   	8   8   	9   9   	10   23   10   	1   	2   	3   3   
87216	bhw	4   4   	5   5   5   5   	6   	7   7   7   	8   8   8   8   	9   9   	10   10   10   	1   	2   2   2   2   2   	3   
128831	bhw	4   	5   	6   	7   	8   	9   	10   	1   		2   
84233	bhw	4   4   	5   5   5   	6   	7   7   2   	8   8   8   8   31   	9   	10   10   	1   1   	3   3   2   	3   3   
119035	swe	30   	5   	28   6   	7   	31   8   8   	24   9   	23   	29   	2   	25   3   25   
80138	bhw	4   	5   	6   	7   7   	8   	9   	10   10   	1   1   29   	2   	3   
136713	bhw	4   	5   	6   	7   7   	8   	9   	10   10   	1   	2   	3   
138758	swe	30   30   30   	22   5   22   5   	28   6   	7   7   	31   31   8   8   	24   	23   10   23   	1   1   1   	2   	25   3   3   
