Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
30	3,90990990991008	27,2072072072081	aːi n ɔ    	eː f    ɛ ʈ    	ɧ ʉː    	ɛ s k kʰʲ    	ɸ aːi ɔ    	ɸ r uɔ    	v ɸ oː    	ɔ b a̹    	f ɛ m    	f yː r a̹    
31	-5,99999999999983	29,0090090090099	s i w    	s o e d̪    	f i s    	w ŏ n e m    	s ɔˑ m f u d̪    	s ts ŏ d̪    	s b̥ u u    	ɔˑ w d̪    	b̥ i m    	f ts ɔˑ ʈʰ    
32	-3,74774774774758	27,2072072072081	i s ɟ    	s ɛ̃ o r    	i f k    	ɟ ɛ̃ tɕ o m    	s a m f ɔ̃ː r    	k j ɛ̃ r    	r s ɔ̃ː ɔ̃ː    	ɟ a r    	r i m    	f j a k    
33	-3,29729729729713	26,3063063063072	ŋ i ʁˤ    	eɪ m e pʲ    	i f cː    	ʁˤ n eɪ e m    	ŋ a m u f pʲ    	ŋ cː eɪ pʲ    	u ŋ r u    	a ʁˤ pʲ    	i r m    	ŋ f a cː    
34	3,45945945945963	26,3063063063072	n aːi ɔ    	eː w̃    	ɧ ʉː    	ɛ ɾ k sː    	t aːi ɔ    	t r uɔ    	t v oː    	ɔ ʑ a    	ɛ f ɓ    	f yː r a    
35	-10,0540540540539	21,8018018018027	oːu jˀ w    	o ɔ̃ jˀ r    	oːu f k    	w o n ɔ̃ ɬ    	jˀ ʉ ɬ f u r    	k k o r    	jˀ u r u    	w ʉ r    	r oːu ɬ    	k f ʉ k    
36	-9,15315315315298	23,1531531531541	s au fʲ    	s e e r    	f au cː    	fʲ e e n m    	s m a f u r    	cː t̪ e r    	s u r u    	fʲ a r    	r au m    	f a t̪ cː    
37	-5,54954954954938	26,3063063063072	i s w    	ɜː s ɛ̃ d̪    	i f ʃʰ    	w ø n ɛ̃ m    	s ă m f u d̪    	v ʃʰ ø d̪    	s b̥ u u    	w ă d̪    	i b̥ m    	f v ă ʃʰ    
38	-4,64864864864848	29,4594594594604	āː s w    	s o e ɗ    	āː f k    	w ʃː e o m    	a s m f ẽ ɗ    	o k j ɗ    	s ɔ̃ː ɗ ɔ̃ː    	w a ɗ    	āː ɗ m    	a f j k    
39	-2,84684684684668	25,4054054054063	dː i t    	dː o ə r    	i ŋ̩ k    	t n o ə bː    	ä dː m ŋ̩ ɔ̃ː r    	k o j r    	r dː ɔ̃ː ɔ̃ː    	t ä r    	i r m    	ŋ̩ j ä k    
40	-3,74774774774758	29,0090090090099	õ ɸʷ tsː    	u ɸʷ u r    	f õ cː    	tsː u u n m    	ɸʷ ə m f o r    	t̪ cː o r    	ɸʷ r u u    	ə tsː r    	õ r m    	f t̪ ə cː    
41	-7,35135135135118	26,7567567567577	s i kʼ    	o tsʰ e β    	i s cː    	o d̪ʰ kʼ e lː    	s ʌ s m aːi β    	cː s o β    	s β aːi aːi    	a kʼ β    	β i lː    	s ʌ s cː    
42	-2,84684684684668	26,7567567567577	s i t    	o s ə dː    	i f ⁿd    	t o n ə m    	s a f m ɔ̃ː dː    	ⁿd o j r    	s r ɔ̃ː ɔ̃ː    	t a dː    	r i m    	f ɒ j ⁿd    
43	-3,29729729729713	24,9549549549559	s i g    	o s e pʲ    	i kʲ cː    	g o n e m    	s ɨˤ m kʲ u pʲ    	cː s o pʲ    	s u r u    	ãi g pʲ    	r i m    	s kʲ ɨˤ cː    
44	-9,60360360360343	21,8018018018027	i s ˀb    	o œ s d̪    	i dʑ k    	ˀb o n œ ȵ    	s ɔˑ ȵ dʑ u d̪    	k j o d̪    	s r u u    	ɔˑ ˀb d̪    	r a̱ ȵ    	dʑ j ɔˑ k    
45	3,90990990991008	27,6576576576586	aːi n ɔ    	eː ʀ    ɛ ʈ    	ɧ ã̤ː    	ɛ s k h    	t aːi ɔ    	t tʰ uɔ    	t v ʏ    	tː ɔ a    	f ɨi m̩    	f yː tʰ a    
46	-5,99999999999983	27,6576576576586	s i w    	s o e d̪    	i f s    	w ə n æː m    	s ɔˑ m f ia d̪    	s j ə d̪    	s ia b̥ ia    	ɔˑ w d̪    	b̥ i m    	f j ɔˑ tsˀ    
47	-5,09909909909893	24,9549549549559	s i w    	œ iə s ŋ    	i β k    	w iə œ β ʡ    	s m ə β ɑ̃ ŋ    	k j iə ŋ    	s r ɑ̃ ɑ̃    	w ə ŋ    	r i ʡ    	j β ə k    
48	2,55855855855873	22,7027027027036	iː s w    	o s au pʲ    	f iː cː    	w o au ħ ʂ    	s a ʂ f u pʲ    	cː s o pʲ    	s ʒ u u    	a w pʲ    	e˞ ʒ ʂ    	s f a cː    
49	-2,84684684684668	25,8558558558568	s iɛ w    	eɪ e s pʲ    	i f jˀ    	w eɪ n e vː    	s a dʲ f u pʲ    	s cː eɪ pʲ    	s u r u    	a w pʲ    	r iɛ vː    	f s a jˀ    
50	2,10810810810828	27,6576576576586	n aːi ä    	s̪ uɔ    ʈ ī    	ˀw ʉː    	ī k s sː    	aːi t ä    	t r ou    	ʁ t oː    	dʲ ä a    	f ɨ m    	f yː r a    
51	-6,90090090090073	25,4054054054063	i lʲ m    	lʲ ɐ o r    	f i cː    	w ɐ o n m    	lʲ m a f ɪ r    	cː t̪ o r    	lʲ r ũ ũ    	w a r    	i r m    	f t̪ a cː    
52	-6,90090090090073	24,9549549549559	s i w    	s o ɛ̃ ʃʰ    	f i k    	w ə ɬ ɛ̃ m    	s ɔˑ m f u ʃʰ    	k ə kp ʃʰ    	c s u u    	ɔˑ w ʃʰ    	c i m    	kp f ɔˑ k    
53	-2,39639639639623	27,6576576576586	i s w    	o s ø sʲ    	f i cː    	w o j ø m    	s a m f u sʲ    	cː s o sʲ    	s r u u    	w a c    	r i m    	s f a cː    
54	-3,74774774774758	29,4594594594604	s i w    	s u e r    	kʼ i ʡ    	w u e n m    	s ə m kʼ ɔ̃u r    	t̪ ɔ̃u ʡ r    	s r u u    	ə w r    	i r m    w u e n m    	kʼ t̪ ə ʡ    
55	-6,90090090090073	26,3063063063072	s aˀ kʼ    	o bʰ e r    	aˀ f cː    	kʼ o n e m    	s ʌ m f u r    	cː s o r    	s r u u    	kʼ a r    	r aˀ m    	f s ʌ cː    
56	-8,25225225225208	24,054054054055	i s w    	s o e r    	f i k    	w o e n m    	s a m f u r    	k t̪ o r    	s r u u    	w a r    	r i m    	f t̪ a k    
57	-7,35135135135118	27,6576576576586	s i ts    	s o e d̪    	i f s    	ts ə n e ŋ    	s ɔˑ ŋ f u d̪    	s j ə d̪    	s u b̥ u    	ɔˑ ts d̪    	i b̥ ŋ    	f j ɔˑ s    
58	-4,64864864864848	26,3063063063072	s ʊ jˀ    	s ɛ̃ ə r    	f ʊ β    	jˀ ɛ̃ tɕ o m    	s a m f oˑ r    	β ɛ̃ j r    	s r oˑ oˑ    	a jˀ r    	ʊ r m    	f j a β    
59	2,55855855855873	25,4054054054063	aːi ȵ ʌ    	ʈ ɛ    	ɧ ʉː    	ɛ s k sː    	t aːi ʌ    	t r uɔ    	v t oː    	ʌ ɕʰ a    	ɑi f dʲ    	yː f r a    
60	-10,5045045045043	21,3513513513523	s i rʲ    	ʌ ɑˑ s r    	i f k    	ʌ rʲ ɑˑ n nʲ    	s nʲ ɨ̠ f ɨ̠ r    	k k ʌ r    	s ɨ̠ r ɨ̠    	ɨ̠ rʲ r    	r i nʲ    	f k ɨ̠ k    
61	-9,60360360360343	22,7027027027036	s i w    	ɔʊ e s r    	i f cː    	w ɔʊ e n m    	s m a f ʌː r    	cː t̪ ɔʊ r    	s r u u    	w a r    	r i m    	f t̪ a cː    
62	-3,74774774774758	24,5045045045054	i s t    	s o ə r    	i ŋ̩ k    	t o n ə m    	ɔʊ s m ŋ̩ ɛu r    	k o j r    	r s ɛu ɛu    	ɔʊ t r    	i r m    	ŋ̩ j ɔʊ k    
64	-4,64864864864848	27,2072072072081	s i w    	o s e ɗ    	i f k    	w ʃː o e m    	a s m f ẽ ɗ    	k o j ɗ    	ɔ̃ː s ɗ ɔ̃ː    	w a ɗ    	ɗ i m    	f j a k    
65	-2,39639639639623	24,9549549549559	i h t    	o h o l    	i ŋ̩ k    	t o n o m    	h m ũ ŋ̩ ɔ̃ː l    	k o j l    	h l ɔ̃ː ɔ̃ː    	ũ t l    	i l m    	j ŋ̩ ũ k    
67	-3,74774774774758	26,7567567567577	i s t    	s ə o dʷ    	i f tʼ    	t n o ə tʰ    	a s tʰ f ɔ̃ː dʷ    	o tʼ j dʷ    	s dʷ ɔ̃ː ɔ̃ː    	a t dʷ    	au dʷ tʰ    	f j a sʲ    
68	-7,80180180180163	26,3063063063072	i s w    	o s ɛ̃ d̪    	i f k    	w ø n ɛ̃ m    	s ă m f u d̪    	k gʱ ø d̪    	s b̥ u u    	w ă d̪    	i b̥ m    	f gʱ ă k    
69	-5,09909909909893	29,4594594594604	āː s w    	s uɔ e ɗ    	āː f k    	w ʃː uɔ e m    	s a m f ẽ ɗ    	k uɔ j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	w a ɗ    	āː ɗ m    	f a j k    
195	3,00900900900918	26,7567567567577	ɨ n ə    	eː g̊    	n̊ ʉː    	ɛ s k sː    	ɨ t ə    	t r uɔ    	ⁿd t oː    	tː aˑ a    	ɨ f m    	f yː r a    
71	-5,99999999999983	26,7567567567577	s i t    	o ʈ ə r    	i f b    	o t n ə m    	a s f m ɔ̃ː r    	b o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j ɒ b    
72	-3,74774774774758	24,9549549549559	s i χʷ    	aːu e s ɭ    	i mʲ ç    	χʷ aːu n e m    	s ɨˤ m mʲ u ɭ    	ç s aːu ɭ    	s u r u    	a χʷ ɭ    	i r m    	s ɨˤ mʲ ç    
73	2,10810810810828	25,4054054054063	n e̞ ɔ    	ɛ ʈ    	ɧ ʉː    	ɛ s k sː    	t e̞ ɔ    	t r uɔ    	t f oː    	ɔ d a    	f eu n̩    	f yː r a    
74	-6,45045045045028	26,7567567567577	i s w    	əu s e r    	ŋː i cː    	w əu e n m    	s ə m ŋː əu r    	t̪ əu cː r    	s r əu əu    	ə w r    	r i m    	ŋː ə t̪ cː    
75	-5,54954954954938	27,6576576576586	s œ kʼ    	o tsʰ e r    	ʒ œ cː    	o kʼ n e m    	s ɛu m ʒ u r    	cː s o r    	s u r u    	kʼ ə̆ r    	r œ m    	ʒ ɛu s cː    
76	-7,80180180180163	24,5045045045054	s i ɹ    	s o e r    	i f ɕː    	w o ŋ e ɹ    	s a ɹ f u r    	cː o tʲ r    	s r u u    	w a r    	i r ɹ    	f tʲ a ɕː    
77	-4,19819819819803	27,6576576576586	s i w    	s o ɛ̃ ʃʰ    	i f k    	w ĩː n ɛ̃ m    	s ɔˑ m f u ʃʰ    	ĩː k k ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	b̥ i m    	f k ɔˑ k    
78	3,90990990991008	26,3063063063072	n aːi ɔ    	ɓ ɛ    	k ʉː    	ɛ s j ð    	aːi t ɔ    	t r uɔ    	v t ʏ    	β ɔ a    	ɨi f m    	f yː r ɤ    
79	2,10810810810828	20,4504504504514	s i t    	s o ə r    	i f k    	t n o i m    	a m s f ɑ r    	k o j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
80	-3,74774774774758	29,9099099099108	ʀ yː w    	ʀ ə˞ e r    	f yː cː    	ə˞ w e n m    	ʀ ə m f ɔ̃ r    	t̪ ɔ̃ cː r    	r ʀ ə˞ ə˞    	ə w r    	yː r m    	f t̪ ə cː    
81	-11,4054054054052	24,054054054055	s ɑ w    	ɑˑ o s r    	f ɑ v    	w o n ɑˑ m    	s u f m u r    	v v o r    	s u m u    	u w r    	r ɑ m    	v f u v    
82	-10,0540540540539	22,2522522522532	s i mˀ    	s o a̤ː r    	f i cː    	mˀ o a̤ː n m    	s a m f u r    	cː o t̪ r    	s u r u    	a mˀ r    	r i m    	f t̪ a cː    
83	3,00900900900918	19,5495495495505	ɸ i w    	o e ɸ n    	f i d̪    	o w n e ʕ    	ɸ e̠ f m u n    	d̪ ɸ o n    	ɸ u pʰ u    	e̠ w n    	r i ʕ    	ɸ f e̠ d̪    
84	3,00900900900918	22,2522522522532	s i t    	o s au pʲ    	w i cː    	t o n au m    	s ɛ̃ m w u pʲ    	cː s o pʲ    	s r u u    	a t pʲ    	i r m    	s w ɛ̃ cː    i r m    
85	3,90990990991008	28,108108108109	aːi n ɔ    	ʀ eː    ɛ ʈ    	ɧ ʉː    	s ɛ k tɕ    	x aːi ɔ    	x l̪ˠ ɤ    	v x oː    	ɔ tː a    	ɛ f ɮ    	f l̪ˠ yː a    
