Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
125	3,45945945945963	21,8018018018027	ɗ ɔ t    	o ɗ au pʲ    	f ɔ cː    	t ui n au m    	ɗ ɛ̃ m f u pʲ    	cː ɗ ui pʲ    	ɗ r u u    	t a pʲ    	ɔ r m    	ɛ̃ ɗ f cː    
126	-10,9549549549548	20,9009009009018	s oːu w    	o ɑˑ s r    	oːu f k    	w o n ɑˑ m    	s ɔˑ m f u r    	k k o r    	s u r u    	ɔˑ w r    	r oːu m    	k f ɔˑ k    
127	-11,4054054054052	20,9009009009018	s ã fʲ    	s o ă r    	ã f cː    	fʲ o ă n θ    	s θ a u f r    	cː t̪ o r    	u s r u    	fʲ a r    	ã r θ    	f t̪ a cː    
128	-7,35135135135118	27,2072072072081	s i kʼ    	o ʔ e β    	s i cː    	o d̪ʰ kʼ e m    	s ʌ s m aːi β    	cː s o β    	s β aːi aːi    	a kʼ β    	β i m    	s ʌ s cː    
129	2,10810810810828	22,7027027027036	s ɛi w    	o s au pʲ    	f ɛi cː    	w o au n ʂ    	s a ʂ f u pʲ    	cː s o pʲ    	s u d u    	a w pʲ    	r ɐ̃ ʂ    	s f a cː    
130	-6,90090090090073	25,8558558558568	lʲ i ŋ̩    	o lʲ e r    	f i cː    	w o e n ŋ̩    	lʲ a ŋ̩ f ɪ r    	cː t̪ o r    	lʲ r u u    	a w r    	i r ŋ̩    	f t̪ a cː    
131	-2,39639639639623	30,8108108108117	s i w    	s ɘ au sʲ    	f i sː    	w ɘ j au m    	s a m f u sʲ    	sː ɘ s sʲ    	s r u u    	w a c    	i r m    	s f a sː    
132	-8,25225225225208	24,9549549549559	ø̠ s w    	o s e r    	f ø̠ ɕ    	w o e n m    	s a m f u r    	ɕ t̪ o r    	s r u u    	a w r    	r ø̠ m    	f t̪ a ɕ    
133	-10,5045045045043	22,2522522522532	s i rʲ    	o ɑˑ s r    	i f k    	rʲ o n ɑˑ nʲ    	s ɔˑ nʲ f u r    	k k o r    	s u r u    	ɔˑ rʲ r    	r i nʲ    	f ɔˑ k k    
134	-4,64864864864848	28,108108108109	i s w    	o s e ɗ    	i f k    	w o ʃː e m    	s æ̃ m f ẽ ɗ    	k o p ɗ    	s ɗ i̟ i̟    	w æ̃ ɗ    	ɗ i m    	f p æ̃ k    
135	-3,74774774774758	27,6576576576586	s i t    	s o æ dʷ    	i f tʼ    	t n o æ bʰ    	a s f bʰ ɔ̃ː dʷ    	o tʼ j dʷ    	s dʷ ɔ̃ː ɔ̃ː    	a t dʷ    	au dʷ bʰ    	f j a tʼ    
136	-5,09909909909893	29,9099099099108	ɑː s w    	s o e ɗ    	ɑː f k    	w ʃː o e tɕ    	a s tɕ f ẽ ɗ    	k o j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	w a ɗ    	ɑː ɗ tɕ    	f j a k    
137	-5,99999999999983	29,9099099099108	s i t    	ʈ o ə r    	i pʲ b    	t o n ə m    	a s pʲ m œː r    	b o j r    	r s uo uo    	a t r    	r i m    	pʲ j ɒ b    
138	2,10810810810828	25,8558558558568	n aːi ɔ    	ɛ ʈ    	ɧ ʉː    	ɛ k s sː    	aːi t ɔ    	r t uɔ    	v t oː    	ɔ d ɑˑ    	m̩ ɨ n̩    	m̩ yː r ɑˑ    
139	-6,45045045045028	30,3603603603613	s i w    	əu s e r    	i ɟ cː    	w əu e n m    	ə s ɟ m əu r    	t̪ cː əu r    	s r əu əu    	ə w r    	i r m    	ɟ ə t̪ cː    
140	-5,54954954954938	29,9099099099108	s i kʼ    	o e tsʰ r    	ʒ i cː    	kʼ o qʰ e m    	s ɑ˞ m ʒ e̞ r    	cː s o r    	s r e̞ e̞    	ɑ˞ kʼ r    	r i m    	ʒ ɑ˞ s cː    
141	-4,19819819819803	29,4594594594604	s i w    	s o ɛ̃ ʃʰ    	i f k    	w ə n ɛ̃ m    		ə k kp ʃʰ    	s b̥ u u    	w ɔˑ ʃʰ    	i b̥ m    	f kp ɔˑ k    
142	2,10810810810828	21,3513513513523	s aɪ t    	s o ə r    	f aɪ k    	n t o aɪ m    	a s f m ɔ̃ː r    	k aː j r    	s r ɔ̃ː ɔ̃ː    	a t r    	r aɪ m    	f j a k    
143	-11,4054054054052	25,4054054054063	s i w    	ɔ o s r    	f i k    	o w n ɔ m    	s u m f u kʰ    	k k o kʰ    	s u m u    	u w r    	r i m    	f k u k    
144	3,00900900900918	22,7027027027036	s i t    	o s au pʲ    	r i cː    	o t n au m    	s ɐ m r u pʲ    	cː o s pʲ    	s r u u    	a t pʲ    	i r m    	s r ɐ cː    
145	2,10810810810828	30,3603603603613	aːi n a̠    	eː g̊    	n̊ ʉː    	s ɛ k ˀb    	aːi t a̠    	t r uɔ    	v t oː    	a̠ dʲ a    	f ɨ m    	f r yː a    
146	-6,90090090090073	30,3603603603613	i s w    	s o ɛ̃ ʃʰ    	i g̊ k    	w ə n ɛ̃ m    	s ɔˑ m g̊ u ʃʰ    	k ə kp ʃʰ    	s b̥ u u    	ɔˑ w ʃʰ    	i b̥ m    	kp g̊ ɔˑ k    
147	-8,25225225225208	25,8558558558568	i s w    	s o e tsʲ    	f i cː    	w o e n m    	s a m f u tsʲ    	cː t̪ ai tsʲ    	tsʲ s u u    	w a tsʲ    	tsʲ i m    	f t̪ a cː    
194	-8,25225225225208	28,5585585585595	s əu w    	āː s e ȶ    	əu ŋː bʱ    	āː w e n m    	s ə m ŋː āː ȶ    	t̪ bʱ āː ȶ    	s ȶ āː āː    	w ə ȶ    	ȶ əu m    	ŋː ə t̪ bʱ    
149	-10,9549549549548	25,8558558558568	ʔ i w    	ʔ o e d̪    	f i ʔ    	w ə n e m    	ʔ ɔˑ m f u d̪    	ʔ j ə d̪    	ʔ u b̥ u    	ɔˑ w d̪    	b̥ i m    	f ɔˑ j ʔ    
150	-4,19819819819803	25,8558558558568	i s w    	ɑˑ s o r    	i χ k    	o w ɑˑ n m    	s ɐ̆ m χ oː r    	k k o r    	s ɐ̆ r oː    	ɐ̆ w r    	r i m    	χ k ɐ̆ k    
151	-8,70270270270253	23,6036036036045	k i pʰ    	k e o ŋ    	f i kʲ    	wʲ o e n pʰ    	k a pʰ f u ŋ    	kʲ o tʲ ŋ    	k ŋ u u    	wʲ a ŋ    	i ŋ pʰ    	f tʲ a kʲ    
152	-3,29729729729713	25,4054054054063	i ⁿdʑ t    	ⁿdʑ œː ə r    	i f b    	t œː n ə m    	a f ⁿdʑ m o r    	b j œː r    	ⁿdʑ r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j ɒ b    
153	3,90990990991008	31,7117117117126	aːi n ɔ    	eː ʀ    ɓ ɛ    	ɧ ʉː    	ɛ s j sː    	aːi t ɔ    	t r ɔ    	s t ʏ    	tː ɔ a    	f ɨi m    	f yː r a    
154	-11,4054054054052	21,3513513513523	d̪ i w    	ʉ ɑˑ d̪ r    	f i k    	w ʉ n ɑˑ m    	d̪ u m f u ɸ    	k k ʉ ɸ    	d̪ u m u    	u w ɸ    	r i m    	f k u k    
155	-11,8558558558557	20,4504504504514	i s tː    	s o e r    	f i cː    	tː o e n m    	s iu m f u r    	cː t̪ o r    	s u r u    	iu tː r    	r i m    	t̪ f iu cː    
156	3,45945945945963	19,0990990991	i ɸ ɓ    	o ɸ e pʲ    	i f d̪    	ɓ o n e m    	ɸ e̠ m f u pʲ    	d̪ ɸ o pʲ    	u ɸ pʰ u    	e̠ ɓ pʲ    	ŋ i m    	ɸ f e̠ d̪    
157	-5,54954954954938	27,2072072072081	i s w    	o s œ d̪    	i x ɮʲ    	o w x œ p    	s ə m x u d̪    	ɮʲ j o d̪    	s u ɖː u    	ə w d̪    	i r p    	j x ə ɮʲ    
158	-1,94594594594578	24,9549549549559	s i β    	eɪ m e pʲ    	f i cː    	β eɪ r̩ e m    	s a m u f pʲ    	s cː eɪ pʲ    	u s r u    	a β pʲ    	r i m    	s f a cː    
159	-2,84684684684668	20,0000000000009	n ɤ ɔ    	eː w̃    	ʉː ɧ    	ɛ s k sː    	ɤ t ɔ    	t r ə    	v t oː    	ɔ tː a    	f ɛ ɓ    	f yː r a    
160	-6,45045045045028	29,4594594594604	āː s w    	s o e ʃ    	āː f k    	w z̩ e o m    	a m s f ẽ ʃ    	k o j ʃ    	s ʃ ɔ̃ː ɔ̃ː    	w a ʃ    	āː ʃ m    	f j a k    
161	-6,90090090090073	21,3513513513523	dː u t    	dː o ə r    	u ŋ̩ k    	t o ŋː ə bː    	ĩ dː m ɔ̃ː ŋ̩ r    	k o j r    	r dː ɔ̃ː ɔ̃ː    	t ĩ r    	u r m    	ŋ̩ j ĩ k    
162	-4,19819819819803	26,7567567567577	s ie t    	s o ə dː    	ie f tɕʰ    	t o n ə m    	a s f m ɔ̃ː dː    	tɕʰ o j r    	r s ɔ̃ː ɔ̃ː    	a t dː    	r ie m    	f j ɒ tɕʰ    
163	-4,19819819819803	24,9549549549559	s i w    	o s e pʲ    	kʲ i cː    	w o n e m    	s m ɨˤ kʲ ə pʲ    	cː s o pʲ    	s ə r ə    	ãi w pʲ    	r i m    	s kʲ ɨˤ cː    
164	-8,25225225225208	21,8018018018027	i s w    	œ s iə d̪    	i β k    	w iə β œ ʡ    	s ə m β ɔ̃ː d̪    	k j iə d̪    	s r u u    	w ə d̪    	r i ʡ    	j β ə k    
165	2,10810810810828	29,4594594594604	n aːi ä    	g̊ eː    ʈ ī    	n̊ ʉː    	ī k s sː    	t aːi ä    	t r ou    	v t oː    	dʲ ä a    	ɨ f m    	f yː r a    
166	-6,90090090090073	27,6576576576586	s i ˀn    	s o ɛ̃ ʃʰ    	i f ŋ    	ˀn ə ɬ ɛ̃ m    	s ɔˑ m f u ʃʰ    	ŋ ə kp ʃʰ    	s c u u    	ɔˑ ˀn ʃʰ    	c i m    	kp ɔˑ f ŋ    
167	-7,35135135135118	25,8558558558568	s i w    	u s ə r    	f i cː    	w u ə n m    	s m ə f ɔ̃u r    	t̪ ɔ̃u cː r    	s r u u    	ə w r    	i r m    w u ə n m    	f t̪ ə cː    
168	-6,90090090090073	28,108108108109	s i kʼ    	o tsʰ e r    	f i cː    	o kʼ n e m    	s ɛ̠ m f u r    	cː s o r    	s r u u    	a kʼ r    	r i m    	f s ɛ̠ cː    
169	-9,60360360360343	25,4054054054063	s i ts    	s o e d̪    	i f s    	ts ə n e t    	ɔˑ s t f u d̪    	s j ə d̪    	u s b̥ ai    	ɔˑ ts d̪    	i b̥ t    	f j ɔˑ s    
170	-3,74774774774758	25,4054054054063	i s jˀ    	ɛ̃ s ə r    	f i k    	jˀ ɛ̃ tɕ ə m    	s a m f oˑ r    	k ɟ ɛ̃ r    	s r oˑ oˑ    	a jˀ r    	i r m    	f ɟ a k    
171	-10,5045045045043	26,7567567567577	s i rʲ    	ɑˑ o s r    	i f c    	rʲ o n ɑˑ nʲ    	s nʲ a f a r    	c c o r    	s a r a    	a rʲ r    	r i nʲ    	c f a c    
172	-12,3063063063061	19,0990990991	s i w    	o s ə d̪    	dʑ i ɖʐ    	w o n ə m    	s ɔˑ m dʑ u d̪    	ɖʐ j o d̪    	s χ u u    	ɔˑ w d̪    	i χ m    	dʑ j ɔˑ ɖʐ    
173	-7,80180180180163	28,108108108109	s i w    	o s ɛ̃ d̪    	i f k    	w ø n ɛ̃ m    	ă s m f u d̪    	k kp ø d̪    	s b̥ u u    	ă w d̪    	i b̥ m    	f kp ă k    
174	-7,35135135135118	24,054054054055	i s w̃    	s o e tsʲ    	f i ɕː    	w o e n w̃    	s a w̃ f u tsʲ    	cː o tʲ tsʲ    	s tsʲ u u    	w a tsʲ    	i tsʲ w̃    	f tʲ a ɕː    
175	4,81081081081098	25,4054054054063	n aːi ɔ    	ɛ ɓ    	ɧ ɯ̆    	ɛ s j sː    	t aːi ɔ    	r t uɔ    	t v ʏ    	β ɔ a    	ɨi f m    	f yː r ɤ    
176	-1,04504504504488	27,2072072072081	ʀ i w    	u ʀ e ⁿg    	f i cː    	u w e qˀ m    	ʀ ə m f ɔ̃ ⁿg    	t̪ ɔ̃ cː ⁿg    	ⁿg ʀ u u    	ə w ⁿg    	i ⁿg m    	f t̪ ə cː    
177	3,90990990991008	18,6486486486496	ɸ i w    	o ɸ a̱i pʲ    	i f ɾ    	o w n a̱i ʕ    	ɸ e̠ f u m pʲ    	ɾ o ɸ pʲ    	ɸ u pʰ u    	e̠ w pʲ    	r i ʕ    	ɸ e̠ f ɾ    
178	-6,90090090090073	29,9099099099108	s i kʼ    	aː tsʰ e β    	i s cː    	aː kʼ n e ŋ    	s ʌ m s u β    	cː s ɐ β    	β s u u    	a kʼ β    	β i ŋ    	s ʌ s cː    
179	-7,80180180180163	19,0990990991	s i rʲ    	o ɑˑ s r    	i f k    	rʲ o n ɑˑ m    	s ɔˑ m f u c    	k k o c    	s u t u    	rʲ ɔˑ c    	i r m    	f k ɔˑ k    
180	-9,15315315315298	24,054054054055	i s w    	o s e r    	i f cː    	w e o n m    	s m aːu f u r    	cː t̪ o r    	s r u u    	aːu w r    	r i m    	f t̪ aːu cː    
181	-5,54954954954938	24,5045045045054	s i w    	ũ s ɛ̃ ʝ    	i f k    	w ø n ɛ̃ m    	s ă m f u ʝ    	k kp ø ʝ    	s b̥ u u    	w ă ʝ    	i b̥ m    	f kp ă k    
182	-4,19819819819803	28,5585585585595	s i w    	o s e ɗ    	i f k    	w ʃː o e m    	æ̃ s m f uɔ ɗ    	o k j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	w æ̃ ɗ    	ɗ i m    	f j æ̃ k    
183	2,10810810810828	21,8018018018027	i s t    	s ə œː r    	f i b    	œː t n ə m    	a s f m o r    	b œː j r    s r ɔ̃ː ɔ̃ː    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j ɒ b    
184	1,65765765765783	19,0990990991	i s t    	s ɛ̃ o r    	i v k    	ɛ̃ t tɕ o m    v j a k    	s a m v ɔ̃ː r    	k j ɛ̃ r    	r ɔ̃ː s ɔ̃ː    	a t r    		v j a k    
185	3,45945945945963	25,4054054054063	n aːi ɔ    	eː g̊    ʈ ɛ    	ɧ ʉː    	ɛ k s sː    	t aːi ɔ    	r t uɔ    	v t oː    	ɔ tː a    	bʲ ɯi ɓ    	bʲ ə r a    
186	3,90990990991008	26,7567567567577	e̞ n ɔ    	ʀ eː    ɛ nʲ    	ɧ ʉː    	ɛ s k sː    	t e̞ ɔ    	t ʃʰ uɔ    	v t ʏ    	tː ɔ a    	f ɨi mʷ    	f yː ʃʰ a    
187	-8,25225225225208	15,4954954954964	s i w    	o œ s d̪    	i f k    	w o f œ ʡ    	s ə m f u d̪    	k d o d̪    	s r u u    	w ə d̪    	i r ʡ    	d f ə k    
188	-1,49549549549533	24,9549549549559	ȵ e ɔ    	g̊ ɨˑ    ɛ ʑ    	ɧ œː    	ɛ k s sː    	e t ɔ    	t r uɔ    	t v oː    	ɔ tː a    	f ɑi ɓ    	f yː r a    
189	4,81081081081098	23,6036036036045	n aːi ɔ    	eː ɽ    ɛ ʈ    	ɧ ʉː    	ɛ k s tɕ    	ɸ aːi ɔ    	ɸ r uɔ    	v ɸ oː    	ɔ dz a    	ɛ f m    	f yː r a    
190	-3,29729729729713	27,6576576576586	s i w    	s o ɛ̃ g    	i f hː    	w ə n ɛ̃ m    	s ɔˑ m f ɐː g    	hː kp ə g    	s b̥ u u    	w ɔˑ g    	i b̥ m    	f kp ɔˑ hː    
191	-2,39639639639623	25,8558558558568	s i w    	o ɬ œ d̪    	i f k    		s m ə f y d̪    	k k o d̪    	s r u u    	ə w d̪    	i r m    	f k ə k    
192	4,36036036036053	20,9009009009018	r̃ i w    	au o r̃ kʷ    	i f cː    	o w j au m    	r̃ ɐː m f u kʷ    	cː r̃ o kʷ    	r̃ r u u    	ɐː w ts    	r i m    	r̃ f ɐː cː    
193	-5,54954954954938	29,4594594594604	s i t    	o ʈ ə r    	i f b    	t o n ə m    	s a f m ɔ̃ː r    	b o qʷ r    	s r ɔ̃ː ɔ̃ː    	a t r    	r i m    	f qʷ ɒ b    
198	-4,64864864864848	31,2612612612622	tsʰ ĩ w    	o tsʰ e ɗ    	ĩ x ɕʲ    	w ʃː o e m    	æ̃ tsʰ m x uɔ ɗ    	o ɕʲ j ɗ    	tsʰ ɗ ɔ̃ː ɔ̃ː    	w æ̃ ɗ    	ɗ ĩ m    	x j æ̃ ɕʲ    
199	-6,45045045045028	27,2072072072081	s i w    	o ɬ œ d̪    	i f k    	kʼ o n e m    	s ɥ ə f y d̪    	k j o d̪    	s r u u    	ə w d̪    	i r ɥ    	f j ə k    
200	-5,54954954954938	25,8558558558568	s i w    	s o e d̪    	i f s    	w ə n e m    	s ɔˑ f m ia d̪    	s b ə d̪    	s ia b̥ ia    	ɔˑ w d̪    	b̥ i m    	f b ɔˑ ʈː    
201	-1,49549549549533	24,054054054055	s i t    	s o ə r    	i f k    	t o n i m    	a s m ɔ̃ː f r    	k o j r    	s ɔ̃ː r ɔ̃ː    	a t r    	r i m    	f a j k    
202	-2,84684684684668	24,9549549549559	s a̱ w    	o s œ m    	i dʑ k    	w n o œ m    	s ə m dʑ u m    	k ɤː j m    	r s u u    	w ə m    	r a̱ m    	dʑ j ə k    
203	-9,15315315315298	21,8018018018027	i s t    	s ɛ̃ o r    	f i k    	t ɛ̃ dʒ o m    	s a m f ɔ̃ː r    	j k ɛ̃ r    	r s ɔ̃ː ɔ̃ː    	a t r    	r i m    	f j a k    
204	-7,35135135135118	28,108108108109	s i kʼ    	o tsʰ e β    	s i cː    	o kʼ d̪ʰ e lː    	s ʌ s m aːi β    	cː s o β    	s β aːi aːi    	a kʼ β    	β i lː    	s ʌ s cː    
205	-7,80180180180163	21,8018018018027	s ɑ ˀb    	o s œ d̪    	i gː k    	ˀb o n œ m    	s ɔˑ m gː u d̪    	k j o d̪    	s r u u    	ɔˑ ˀb d̪    	r ɑ m    	gː j ɔˑ k    
206	1,20720720720738	24,9549549549559	ɔ̃u n ɔ    	eː ʀ    tɕ ɛ    	ã̤ː ɧ    	ɛ s k sː    	t ɔ̃u ɔ    	t r uɔ    	t v ʏ    	tː ɔ a    	f ɨi m̩    	f yː r a    
207	-8,25225225225208	29,0090090090099	i s qː    	s ʊ e r    	i f k    	qː ʊ n e m    	s y m f u r    	k t̪ ʊ r    	s r u u    	qː y r    	r i m    	f t̪ y k    
208	3,45945945945963	24,9549549549559	s i χʷ    		i mʲ cː    	χʷ o n e m    	s ɨˤ m mʲ o pʲ    	cː s o pʲ    	s o r u    	χʷ a pʲ    	i r m    	s ɨˤ mʲ cː    
209	-6,45045045045028	28,5585585585595	i r w    	əu r ɒ r    	i ŋː cː    	w əu n e m    	r ə m ŋː əu r    	t̪ əu cː r    	r r əu əu    	ə w r    	i r m    	ŋː t̪ ə cː    
210	-9,60360360360343	22,2522522522532	s ʌː mˀ    	s o a̤ː r    	f ʌː cː    	o mˀ a̤ː n m    	s a m f u r    	cː t̪ o r    	s u r u    	a mˀ r    	r ʌː m    	f t̪ a cː    
211	2,10810810810828	30,8108108108117	n aːi ɔ    	eː g̊    ɛ ʈ    	n̊ ʉː    	ɛ k ʃː sː    	t aːi ɔ    	t r uɔ    	v t oː    	dʲ ɔ ẽ    	p ɨ m    	p yː r ẽ    
212	-8,25225225225208	25,4054054054063	i s bʲ    	s o e r    	f i cː    	bʲ o e n m    	s iː m f u r    	t̪ cː o r    	r s u u    	bʲ iː r    	r i m    	f t̪ iː cː    
213	1,65765765765783	25,8558558558568	i s t    	s o ə ⁿt    	i tsʰ k    	o t n ə m    	ɔʊ s m tsʰ ɔ̃ː ⁿt    	k o j r    	r s ɔ̃ː ɔ̃ː    	ɔʊ t r    	i r m    	tsʰ j ɔʊ k    
214	-3,29729729729713	27,2072072072081	s i kʼ    	o tsʰ e r    	f i cː    	o kʼ n e m    	s ʌ m f u r    	cː o s r    	s r u u    	kʼ ɛ̠ r    	i r m    	f s ʌ cː    
215	-8,25225225225208	21,3513513513523	s au gː    	s aː o r    	f au cː    	gː o aː n m    	s m a f u r    	cː t̪ o r    	s r u u    	gː a r    	r au m    	f a t̪ cː    
216	-2,84684684684668	29,4594594594604	āː s w    	o s æː ɗ    	āː f k    	w ʃː æː o m    	a s m f ẽ ɗ    	k o j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	a w ɗ    	āː ɗ m    	f j a k    
217	-4,19819819819803	23,6036036036045	dː eː t    	dː o o̞ː r    	eː ŋ̩ k    	t o rʲ o̞ː m    	ʊː dː m ŋ̩ ɔ̃ː r    	k o j r    	r dː ɔ̃ː ɔ̃ː    	ʊː t r    	eː r m    	ŋ̩ j ʊː ˀl    
218	-5,54954954954938	21,8018018018027	s i w    	eɪ s e pʲ    	f i cː    	w eɪ n e dʲ    	s a f dʲ u pʲ    	s cː eɪ pʲ    	s u w u    	w a pʲ    	w i dʲ    	s f a cː    
219	-2,39639639639623	27,2072072072081	s i w    	u s u r    	f i cː    	w u e n m    	s ə m f ɔ̃u r    	dʲ ɔ̃u cː r    	s r u u    	ə w r    	i r m    	f dʲ ə cː    
220	-5,99999999999983	20,9009009009018	i s t    	s o ə l    	i tɕʰ k    	t o ə n m    	ʊː s m tɕʰ ɔ̃ː l    	k o j l    	l s ɔ̃ː ɔ̃ː    	ʊː t l    	i l m    	j tɕʰ ʊː k    
221	-19,9639639639638	16,3963963963973	i s w    	o o̞ ɗː d̪    	i dʑ k    	w o n o̞ m    	s ɔˑ m dʑ u d̪    	k j o d̪    	s u r u    	ɔˑ w d̪    	r i m    	dʑ j ɔˑ k    
222	-3,29729729729713	26,7567567567577	i s t    	s ia ə r    	f i b    	t ia n ə m    	a s f m ɔ̃ː r    	b ia j r    	ɔ̃ː s r ɔ̃ː    	a t r    	r i m    	f j oi b    
223	2,55855855855873	21,8018018018027	ɗ i t    	o ɗ au pʲ    	f i cː    	t au bv au m    	ɗ ɛ̃ m f u pʲ    	cː ɗ au pʲ    	ɗ r u u    	t a pʲ    	r i m    	ɗ ɛ̃ f cː    
224	-11,8558558558557	20,9009009009018	s oːu w    	o ɑˑ s r    	oːu f k    	w o n ɑˑ cçʲ    	s ɔˑ cçʲ f u r    	k o k r    	s u r u    	ɔˑ w r    	r oːu cçʲ    	f k ɔˑ k    
225	-9,15315315315298	25,8558558558568	lʲ i ȶ    	lʲ o e r    	f i cː    	w o e n ȶ    	lʲ a ȶ f e̱ r    	cː t̪ o r    	lʲ r u u    	w a r    	i r ȶ    	f a t̪ cː    i r ȶ    
226	-8,70270270270253	27,6576576576586	i s t    	s o ə dʷ    	i f tʼ    	t n o ə tʰ    	a s f tʰ ɔ̃ː dʷ    	o ɲ tʼ dʷ    	s dʷ ɔ̃ː ɔ̃ː    		au dʷ tʰ    	f ɲ āː tʼ    
227	-7,35135135135118	29,9099099099108	s ɑː w    	s o e ɗ    	ɑː f l̥    	w ʃː o e m    	a s m f ẽ ɗ    	l̥ o j ɗ    	s ɗ ɔ̃ː ɔ̃ː    	w a ɗ    	ɑː ɗ m    	f j a l̥    
228	1,20720720720738	25,8558558558568	n aːi ɔ    	ɛ ʈ    	ʉː ɧ    	ɛ k s sː    	aːi t ɔ    	t r uɔ    	t v oː    	ɔ d a    	ɨ m̩ n̩    	m̩ yː r a    
229	-3,74774774774758	22,7027027027036	i s t    	o s au pʲ    	f i cː    	t o n au m    	s ɛ̃ m f u pʲ    	cː o s pʲ    	s r u u    	a t pʲ    	i r m    	s f ɛ̃ cː    
230	1,20720720720738	30,3603603603613	n aːi ɔ    	eː g̊    ɛ ʈ    	n̊ ʉː    	ɛ s k sː    	aːi t ɔ    	t r uɔ    	v t oː    	ɔ dʲ a    	f aɯ m    	f yː r a    
231	-8,70270270270253	25,8558558558568	i s w    	s e o j    	f i cː    	w o e n̪ m    	s a m f u j    	cː t̪ o j    	j s u u    	w a j    	j i m    	f t̪ a cː    
232	3,45945945945963	31,7117117117126	n aːi ɔ    	oː ˀl    ɓ ɛ    	ɧ ʉː    	ɛ s j sː    	t aːi ɔ    	r t ɔ    	v t ʏ    	tː ɔ a    	f ɨi m    	f yː r a    
233	-12,7567567567566	20,4504504504514	i s tː    	s o e r    	i f cː    	tː o e n m    	s a m f ə̆ r    	cː t̪ o r    	s ə̆ r ə̆    	a tː r    	r i m    	t̪ f a cː    
234	2,55855855855873	19,0990990991	ɸ i w    	o ɟ e pʲ    	i f d̪    	w n ãː e m    	ɸ e̠ m f u pʲ    	d̪ ɸ ãː pʲ    	ɸ u pʰ u    	e̠ w pʲ    	ŋ i m    	ɸ f e̠ d̪    
235	-4,64864864864848	24,9549549549559	mʲ i w    	o mʲ e pʲ    	i kʲ cː    	w o n e m    	mʲ ɨˤ m kʲ u pʲ    	cː mʲ o pʲ    	mʲ v u u    	w ɔ pʲ    	r i m    	mʲ kʲ ɨˤ cː    
236	-9,60360360360343	15,4954954954964	s i w    	œ o s d̪    	i f k    	w o f œ ʡ    	s ə m f õ d̪    	k j o d̪    	s ɭ õ õ    	ə w d̪    	ɭ i ʡ    	j f ə k    
237	-4,19819819819803	24,5045045045054	d̥ i t    	d̥ œː ə ɣʷ    	i f b    	t œː t ə m    	a d̥ m f o ɣʷ    	b œː j ɣʷ    	d̥ ɣʷ ɔ̃ː ɔ̃ː    	a t ɣʷ    	ɣʷ i m    	f j ɒ b    
238	-1,94594594594578	28,5585585585595	i ŋː w    	o e ŋː pʲ    	i ɓ cː    	w o θ e m    	ŋː ɨˤ m ɓ u pʲ    	ŋː cː o pʲ    	ŋː u lʱ u    	a w pʲ    	lʱ i m    	ŋː ɓ ɨˤ cː    
239	-1,49549549549533	26,7567567567577	r̃ ŏ w    	o a r̃ ɣ    	f ŏ ŋ    	w o j a z    	r̃ a z f u ɣ    	ŋ r̃ o ɣ    	r r̃ u u    	a w ts    	r ŏ z    	r̃ f a ŋ    
240	-5,99999999999983	20,4504504504514	i s w    	s əɯ ə̥ ɦ    	i dʑ k    	w ɛ̠ n ə̥ m    	s ɔˑ m dʑ u ɦ    	k j ɛ̠ ɦ    	s r u u    	ɔˑ w ɦ    	r i m    	dʑ j ɔˑ k    
241	-3,74774774774758	32,1621621621631	ʀ i w    	õ ʀ e r    	f i ŋ    	w õ e ʁ m    	ə ʀ m f ɛu r    	ɔ̃ t̪ ŋ r    	ʀ r õ õ    	ə w r    	i r m    	f t̪ ə ŋ    
242	4,81081081081098	20,4504504504514	i ɗ t    	o ɗ au pʲ    	f i cː    	t ui n au m    	ɗ ɛ̃ m f u pʲ    	cː ɗ ui pʲ    	ɗ r u u    	t a pʲ    	i r m    	ɗ ɛ̃ f cː    
243	-5,99999999999983	23,1531531531541	s i w    	s o e t̪    	i f s    	w ŏ n e m    	s ɔˑ m f u t̪    	s j ŏ t̪    	s b̥ u u    	ɔˑ w t̪    	b̥ i m    	f j ɔˑ ʈʰ    
244	2,55855855855873	20,4504504504514	s i β    	eɪ m e pʲ    	f i cː    	β n eɪ e m    	s a m u f pʲ    	s cː eɪ pʲ    	u s r u    	a β pʲ    	i r m    	s f a cː    
245	2,10810810810828	24,9549549549559	n aːi ɔ    	w̃ eː    	ɧ ʉː    	ɛ ɾ k sː    	t aːi ɔ    	t r əː    	v t oː    	ɔ tː a    	ɛ f ɓ    	f yː r a    
246	-11,8558558558557	20,0000000000009	jˀ oːu w    	o ɔ̃ jˀ r    	oːu f k    	w o tʼ ɔ̃ m    	jˀ ɔˑ m f u r    	k k o r    	jˀ u r u    	w ɔˑ r    	oːu r m    	f k ɔˑ k    
247	-12,3063063063061	20,0000000000009	s au fʲ    	s e e r    	f au cː    	fʲ e e n m    	s m a u f r    	cː t̪ e r    	s u r u    	fʲ a r    	au r m    	f t̪ a cː    
